Location,Square_Feet,Lot_Size,Bedrooms,Bathrooms,Year_Built,Condition,Has_Basement,Price
Suburban,2985,44638,6,1,1946,Good,Yes,336452.4
Downtown,1064,12648,5,4,1970,Excellent,Yes,162719.23
Suburban,2471,38820,5,2,1929,Excellent,No,799465.35
Urban,2752,4340,3,3,1941,Poor,Yes,868119.67
Coastal,1722,30307,6,3,2009,Poor,No,591504.91
Downtown,2916,43080,3,1,1973,Poor,No,732855.29
Suburban,3086,32829,2,2,1993,Good,No,459581.02
Coastal,4136,43005,6,3,1977,Excellent,Yes,128252.1
Suburban,1935,12655,1,1,1990,Excellent,No,451495.41
Downtown,2177,20994,4,4,1956,Excellent,Yes,776249.66
Urban,4845,46912,3,1,1922,Good,Yes,150181.92
Rural,1720,41464,3,2,1985,Good,No,507154.68
Suburban,3223,21078,4,4,1906,Excellent,No,675899.05
Urban,3055,20016,6,4,2013,Excellent,Yes,835316.31
Suburban,2166,22733,6,4,1982,Good,Yes,554791.78
Downtown,3818,36733,1,1,1906,Excellent,Yes,292975.81
Urban,899,3726,3,3,1958,Good,Yes,586142.11
Suburban,4859,49696,1,1,1987,Poor,No,627394.13
Rural,2477,16214,4,1,1935,Good,Yes,672370.32
Urban,3425,49834,1,4,1939,Excellent,Yes,331701.81
Downtown,4386,46871,1,3,1992,Good,Yes,939391.76
Downtown,4378,11974,2,3,1930,Poor,No,977180.55
Coastal,2504,29677,2,3,1916,Poor,Yes,557197.81
Downtown,2515,25286,3,3,2013,Poor,Yes,158774.3
Suburban,3823,16929,4,3,2013,Poor,Yes,901461.35
Urban,2177,11057,4,1,1934,Good,Yes,306294.2
Rural,3336,5796,6,3,1995,Poor,Yes,443407.28
Suburban,3409,2634,2,3,1958,Good,Yes,262484.42
Coastal,4225,21311,5,4,1932,Excellent,No,736664.25
Downtown,4775,45866,6,2,1995,Excellent,No,554201.74
Coastal,3702,12815,5,2,1914,Good,Yes,223745.36
Downtown,2829,17595,5,2,1981,Good,No,545510.6
Suburban,2400,26254,5,1,1966,Good,No,981030.24
Urban,1223,6600,5,1,2021,Poor,Yes,332368.53
Urban,4370,9924,4,3,1958,Excellent,Yes,172903.04
Urban,1802,39475,1,3,1946,Poor,No,397686.61
Rural,3737,11835,6,3,1906,Good,Yes,301493.7
Downtown,1151,17508,4,4,1971,Excellent,No,638479.54
Urban,1540,8397,6,2,1900,Poor,Yes,492245.69
Rural,978,38283,3,2,2000,Good,Yes,943356.59
Coastal,2684,38022,2,1,1935,Good,Yes,111116.11
Suburban,3810,24082,5,3,1900,Excellent,Yes,908227.87
Rural,3311,2088,5,3,1964,Excellent,Yes,561573.98
Urban,3628,38775,2,4,2003,Excellent,No,828843.44
Suburban,2230,4828,5,2,2002,Good,Yes,953495.73
Urban,1201,43438,5,4,1960,Poor,Yes,303219.5
Suburban,3815,10627,6,4,1928,Poor,No,590333.08
Coastal,4308,34514,3,3,2013,Poor,Yes,116671.24
Urban,4341,48664,5,1,1973,Good,Yes,861790.31
Suburban,3369,12152,2,4,1940,Excellent,Yes,540137.37
Coastal,4680,18764,6,2,1960,Good,Yes,718901.94
Coastal,3377,38945,5,3,1923,Excellent,Yes,626951.46
Urban,1404,27182,1,3,1985,Excellent,No,599119.19
Coastal,2764,48359,6,2,1944,Excellent,No,360629.01
Coastal,1891,13297,4,2,2018,Good,Yes,836967.39
Downtown,1014,23860,4,4,2006,Good,Yes,791592.18
Rural,1485,47388,6,2,1921,Excellent,No,204425.88
Urban,4675,45071,5,2,1912,Good,Yes,145047.71
Urban,2310,38207,4,4,1921,Good,Yes,477948.09
Rural,3624,13860,1,4,1906,Poor,No,382731.08
Downtown,2217,30376,6,3,1924,Poor,No,667604.18
Rural,3588,4520,5,4,1955,Good,Yes,958413.22
Urban,3961,12326,2,4,1927,Good,Yes,440122.4
Suburban,2717,40874,1,1,1976,Excellent,Yes,442347.53
Coastal,2865,6051,1,4,2001,Poor,Yes,154255.86
Rural,2670,10325,6,3,2021,Poor,No,427233.6
Downtown,2437,26209,5,2,1974,Excellent,No,486840.63
Urban,4264,34853,1,2,1947,Good,No,792683.03
Rural,1803,10113,4,3,1913,Good,Yes,315762.34
Rural,809,35614,3,4,2023,Excellent,No,545395.78
Downtown,1619,40112,2,2,1957,Excellent,No,981740.9
Coastal,891,24438,6,4,1906,Good,Yes,410939.72
Urban,1393,16290,4,1,2004,Excellent,No,930814.53
Urban,4605,12640,3,2,1972,Excellent,Yes,427738.68
Coastal,4294,2576,3,1,1983,Excellent,Yes,584897.29
Coastal,4071,16103,3,1,1900,Excellent,Yes,411316.31
Downtown,2553,49396,2,1,1969,Poor,No,688516.2
Urban,1264,9429,3,3,1980,Excellent,Yes,383891.6
Suburban,3549,39848,3,2,1969,Good,Yes,520962.76
Coastal,4627,13088,6,2,1954,Poor,Yes,478702.84
Coastal,2535,29834,6,4,1945,Poor,No,343635.56
Downtown,4098,12748,3,1,1976,Poor,Yes,493754.07
Suburban,2564,14512,4,3,2018,Good,Yes,238699.3
Suburban,4874,40661,3,1,1921,Excellent,No,712131.99
Suburban,1491,29295,4,4,1904,Excellent,No,997784.22
Rural,4453,25075,1,3,1938,Excellent,Yes,718081.04
Downtown,2847,11725,4,4,1944,Poor,No,778931.06
Rural,4105,33127,1,3,1969,Good,Yes,248982.58
Rural,1700,4259,4,1,2022,Poor,Yes,548502.71
Downtown,1906,25324,3,2,2013,Poor,No,383262.92
Suburban,2432,26215,4,4,1927,Excellent,No,743971.68
Rural,2448,18927,5,4,1909,Poor,No,227254.53
Urban,2465,33645,3,1,1985,Excellent,Yes,131111.92
Coastal,1305,22625,6,4,1959,Excellent,Yes,426117.87
Urban,1748,18497,5,3,1956,Poor,Yes,649782.87
Rural,1843,14316,3,3,1991,Good,Yes,627325.85
Coastal,3622,8409,1,2,1951,Good,No,490605.71
Urban,1974,32348,6,1,1942,Poor,Yes,566881.75
Downtown,3913,47918,3,4,1964,Poor,Yes,162552.57
Urban,3449,36245,3,4,1914,Excellent,Yes,585260.05
Rural,2724,8143,1,3,2008,Good,Yes,739642.98
Downtown,1514,15476,6,3,2013,Good,No,957466.3
Coastal,1944,27688,5,1,1922,Good,No,853698.22
Coastal,2267,27456,5,4,2010,Poor,Yes,336329.45
Downtown,2925,46039,4,2,1910,Good,No,414458.92
Urban,3103,26908,4,1,1915,Good,Yes,740449.04
Urban,1392,49369,1,1,1992,Excellent,No,493014.75
Downtown,3494,21360,2,2,1908,Poor,No,678596.67
Coastal,1840,15861,4,2,1922,Poor,No,327410.51
Suburban,1169,13278,1,4,2008,Poor,No,555010.41
Downtown,1590,25996,6,4,1944,Poor,No,233552.9
Downtown,4138,43342,3,2,1905,Poor,Yes,641583.34
Coastal,2847,38313,6,1,1934,Poor,No,831297.19
Rural,1630,48098,2,2,1959,Excellent,No,396626.55
Urban,1297,8544,5,3,2010,Excellent,No,869678.43
Coastal,4829,40470,3,1,1911,Poor,Yes,681565.13
Urban,2687,44579,3,1,1960,Excellent,No,284595.71
Coastal,4810,5906,1,3,1912,Good,Yes,643883.06
Rural,1111,34127,5,3,1920,Good,Yes,966347.37
Rural,2943,7731,1,2,1945,Poor,Yes,992109.01
Coastal,3621,41169,2,3,1966,Poor,No,397354.71
Suburban,2411,34729,6,3,2011,Good,No,687068.7
Coastal,1527,44151,2,3,1909,Poor,No,760007.8
Coastal,3047,4386,1,4,1988,Good,No,293737.46
Coastal,2028,44807,2,2,1963,Excellent,No,934682.18
Downtown,985,36508,1,1,2021,Excellent,No,428973.43
Urban,3429,33641,5,4,1956,Poor,Yes,264000.39
Urban,3525,46823,6,1,1900,Excellent,Yes,168487.51
Rural,2593,43095,4,4,1935,Poor,Yes,494742.48
Downtown,1098,33419,3,1,2018,Poor,Yes,427443.53
Suburban,1279,26725,4,1,1970,Good,No,326802.15
Downtown,2174,29311,5,4,2011,Poor,Yes,655187.09
Coastal,1041,38656,2,2,2011,Poor,Yes,792916.92
Downtown,2004,6754,4,4,1962,Poor,Yes,728024.76
Urban,815,7616,5,3,1932,Good,Yes,328215.48
Suburban,934,35656,2,1,1927,Good,Yes,872386.95
Downtown,1966,35801,1,1,1977,Excellent,Yes,483671.5
Downtown,2765,24845,5,3,1905,Poor,Yes,888248.48
Downtown,2183,38774,1,4,2008,Excellent,Yes,532247.72
Urban,4887,6872,5,3,1973,Excellent,No,334939.83
Suburban,2835,42568,5,3,1956,Good,Yes,977029.94
Downtown,4358,33314,2,4,1912,Poor,Yes,785491.72
Urban,4282,48512,4,3,2011,Poor,Yes,787934.38
Urban,1497,40213,5,4,1932,Poor,No,263593.75
Coastal,1085,10685,1,3,1991,Poor,No,323290.68
Rural,4542,6623,1,4,1918,Poor,Yes,208525.45
Downtown,4099,26198,1,3,1917,Poor,Yes,729814.71
Downtown,1609,39597,3,3,1943,Excellent,Yes,525893.36
Urban,2902,43946,2,2,1924,Good,Yes,694745.66
Suburban,1468,5669,6,1,1981,Good,Yes,321107.89
Urban,4646,38984,6,3,1968,Poor,No,404765.74
Suburban,3158,42192,1,4,1920,Good,No,805135.6
Urban,4595,30285,6,2,1920,Excellent,No,252747.26
Downtown,2825,43059,5,3,1908,Poor,No,230774.62
Urban,1132,17306,6,2,1930,Good,No,971452.0
Suburban,1446,15906,3,1,1923,Poor,No,218408.27
Downtown,1270,41145,4,3,2002,Good,Yes,778469.36
Urban,1376,3046,2,4,1968,Good,Yes,383980.98
Suburban,4758,14645,4,3,1999,Good,Yes,806490.1
Urban,2201,28111,6,4,1948,Good,Yes,422974.58
Urban,3811,18270,1,1,2023,Excellent,Yes,215935.03
Urban,4736,8691,2,1,1992,Excellent,No,516932.5
Urban,2914,31461,5,3,2009,Good,Yes,942474.06
Suburban,3302,20052,4,2,1964,Good,No,773081.67
Suburban,1192,45920,3,2,1973,Excellent,No,561246.14
Downtown,1198,49963,4,3,1957,Excellent,Yes,196118.7
Downtown,3396,46939,1,2,1962,Poor,Yes,686115.8
Suburban,3215,35997,6,4,1998,Good,Yes,741214.41
Coastal,4638,2459,2,2,1965,Good,Yes,654330.92
Downtown,3250,34602,2,3,1905,Good,No,240674.34
Coastal,1561,26599,5,2,1938,Excellent,No,829239.22
Coastal,4323,21312,3,4,1947,Poor,Yes,721519.24
Downtown,1415,3307,2,1,1901,Poor,Yes,796063.16
Downtown,4751,33118,1,4,1991,Poor,No,419564.73
Downtown,2210,15603,6,3,2023,Good,No,508061.13
Downtown,1240,5848,4,1,1903,Excellent,Yes,493798.63
Coastal,3617,9056,4,4,1965,Poor,Yes,595142.3
Coastal,1887,45560,5,4,2017,Good,Yes,198198.22
Coastal,1877,17502,2,1,1959,Excellent,Yes,380658.5
Downtown,4929,21899,6,2,2022,Good,No,438634.6
Rural,4979,4040,4,1,1915,Excellent,Yes,239625.12
Rural,2759,20017,6,4,1933,Poor,No,305128.4
Suburban,2172,6637,5,4,1917,Excellent,No,604678.93
Urban,4417,48520,1,3,1981,Excellent,No,959971.58
Suburban,2305,4897,6,4,1937,Good,Yes,582510.77
Coastal,2494,40605,5,1,1988,Good,Yes,774799.73
Downtown,1442,26048,2,1,1959,Excellent,Yes,856144.39
Suburban,1387,5334,6,3,2003,Good,No,960666.42
Suburban,3412,4691,6,2,1994,Poor,Yes,593446.0
Suburban,2619,43101,4,2,1953,Excellent,No,277630.87
Downtown,4610,13554,6,1,1944,Excellent,No,678807.37
Downtown,3562,14262,1,4,1960,Excellent,Yes,391310.06
Urban,4269,28762,3,4,2023,Good,No,427150.78
Downtown,3347,24925,1,4,1968,Good,No,848939.59
Suburban,3372,21130,1,2,1969,Excellent,Yes,589168.92
Urban,3800,39654,1,4,1995,Poor,Yes,558529.9
Urban,2304,14155,6,4,1948,Poor,No,786162.39
Urban,1765,10818,1,1,1915,Good,No,156892.12
Downtown,1947,22563,3,2,1957,Excellent,No,378865.2
Suburban,4289,20994,6,3,1997,Excellent,Yes,300845.61
Downtown,1094,30295,6,1,2014,Good,No,408300.33
Rural,1650,9359,2,3,1951,Excellent,No,421619.74
Rural,4975,10558,1,1,1956,Good,Yes,816328.64
Coastal,4998,19157,2,1,1943,Good,No,785799.73
Urban,1132,41773,4,4,1964,Excellent,No,810652.23
Downtown,3810,32933,6,4,1911,Good,Yes,747099.08
Urban,1144,37242,3,4,1913,Excellent,Yes,665240.53
Urban,1147,28199,3,2,1941,Poor,Yes,805370.96
Suburban,1502,21534,4,2,2005,Excellent,Yes,584634.62
Rural,1084,19912,5,4,1953,Excellent,No,609163.7
Urban,2222,40234,1,3,2008,Excellent,No,564944.54
Downtown,3443,6743,1,4,1925,Poor,Yes,442232.41
Rural,4941,37221,5,2,2017,Excellent,No,592848.51
Urban,3455,20691,3,2,1906,Excellent,No,661160.12
Coastal,4691,6113,4,1,2001,Good,No,849245.18
Urban,2775,38566,1,1,2007,Poor,Yes,920425.49
Coastal,1733,41849,5,4,1943,Poor,Yes,189712.7
Urban,1843,37057,5,3,1931,Good,No,268937.03
Suburban,1441,11492,1,4,1982,Excellent,Yes,617674.24
Suburban,1541,36412,5,3,1925,Excellent,No,631104.33
Coastal,991,36239,2,4,1986,Excellent,No,858291.33
Rural,2765,36191,3,2,1922,Poor,No,582461.81
Urban,2892,13716,4,1,2016,Good,No,715545.5
Suburban,2294,32612,3,2,1913,Excellent,No,515544.6
Urban,1293,20964,2,3,2004,Good,Yes,757484.61
Downtown,1816,26402,6,3,2008,Poor,No,885407.41
Urban,3170,27452,6,1,1941,Excellent,Yes,675332.5
Suburban,4881,29160,3,3,1984,Poor,No,256673.63
Urban,3170,15497,2,4,1915,Poor,No,819576.8
Rural,4393,19644,2,3,1969,Good,Yes,207488.37
Coastal,4787,12532,3,4,1948,Excellent,No,435178.76
Suburban,4890,19598,5,3,2018,Excellent,Yes,284577.02
Coastal,2228,38545,1,4,2003,Poor,No,705286.84
Rural,4832,29385,6,2,1910,Good,Yes,905843.91
Suburban,4886,7623,3,1,1977,Excellent,Yes,794348.96
Suburban,3511,32959,5,3,2010,Poor,No,505352.39
Coastal,2989,2380,3,1,2002,Excellent,No,477934.79
Suburban,3320,7641,6,1,1948,Good,Yes,214241.82
Rural,3257,21715,5,1,2015,Good,Yes,374148.11
Suburban,1968,37482,6,4,2018,Excellent,Yes,859616.5
Urban,3929,23477,6,3,1933,Poor,No,949084.73
Suburban,4474,23904,3,3,1920,Good,No,348360.16
Suburban,2531,9098,6,1,1909,Good,Yes,891238.96
Rural,1773,22334,6,1,1961,Good,No,381308.35
Rural,4606,20952,5,4,1926,Good,No,513131.28
Suburban,4287,4992,5,2,2000,Excellent,No,369663.04
Suburban,1443,9949,2,2,1921,Poor,Yes,193636.75
Rural,2393,28699,6,1,2003,Poor,Yes,811555.05
Coastal,4142,8632,1,3,1941,Good,No,221343.58
Suburban,3165,17427,2,4,1957,Excellent,Yes,812287.9
Downtown,3657,27278,4,1,1968,Excellent,Yes,343441.81
Suburban,4175,24695,1,2,1917,Excellent,Yes,172591.2
Rural,3637,9262,2,3,2012,Poor,No,132516.74
Rural,1165,47531,6,4,2008,Good,Yes,854005.82
Downtown,1878,35189,2,1,2001,Excellent,No,452536.13
Urban,2286,25908,3,2,1972,Poor,Yes,865239.63
Downtown,2543,21918,4,2,1904,Excellent,Yes,782703.8
Rural,3159,20546,6,1,1998,Poor,Yes,875382.02
Urban,1025,14185,2,3,1969,Poor,Yes,643630.28
Coastal,4710,18017,2,4,2014,Poor,No,180689.33
Coastal,2307,35799,2,4,1958,Excellent,Yes,957846.49
Suburban,4565,42076,4,1,1969,Excellent,Yes,573010.94
Rural,3260,16096,1,2,1939,Poor,Yes,215659.04
Suburban,3557,47938,5,2,2012,Good,Yes,973319.05
Coastal,941,48326,4,3,1994,Good,No,741137.88
Rural,4622,17253,2,2,1903,Excellent,No,295277.62
Downtown,4859,35273,5,4,1984,Excellent,No,931246.85
Coastal,2344,24870,1,4,2000,Good,Yes,257129.2
Downtown,3935,38025,1,2,2002,Excellent,Yes,794860.63
Downtown,1728,34259,3,4,1929,Good,No,346493.85
Rural,3101,31751,5,3,1960,Good,Yes,545202.14
Urban,1351,30410,6,2,1972,Good,Yes,172605.93
Rural,1854,17720,2,1,2012,Poor,Yes,420616.09
Coastal,2976,41372,3,2,1925,Good,No,356512.75
Suburban,1963,23115,4,2,1937,Excellent,Yes,119671.66
Coastal,2006,15479,1,2,1900,Excellent,No,574949.68
Suburban,3557,27207,6,2,1977,Poor,No,187922.48
Urban,4738,3899,4,4,1995,Poor,No,663472.95
Rural,1201,40178,6,2,1953,Good,No,353894.95
Suburban,4500,13588,6,1,1933,Excellent,Yes,497931.31
Coastal,3894,37016,6,3,1936,Excellent,No,293771.09
Rural,2337,31379,2,3,1904,Good,Yes,633693.7
Urban,4933,5715,6,3,2005,Good,No,336179.4
Suburban,4737,26173,1,1,1906,Excellent,Yes,657524.38
Suburban,2206,43317,1,3,1944,Excellent,Yes,309752.8
Coastal,3650,43139,3,4,2008,Good,Yes,541239.82
Rural,3916,40259,4,3,2020,Good,Yes,455474.38
Suburban,3822,7905,6,3,1901,Poor,Yes,601162.0
Rural,2559,15966,6,1,1915,Excellent,Yes,766222.16
Rural,3667,25202,1,3,1967,Excellent,Yes,866620.41
Urban,4723,41500,2,1,1966,Excellent,No,360520.47
Suburban,2168,24880,1,3,2012,Good,Yes,816213.44
Downtown,3275,21640,5,4,2017,Excellent,Yes,808006.49
Downtown,1984,26458,5,4,1956,Good,Yes,702039.4
Rural,3825,23087,1,3,1995,Good,Yes,785029.86
Rural,977,39430,6,2,1966,Poor,No,309514.98
Rural,3661,24349,6,1,1961,Excellent,No,859932.14
Coastal,3456,24613,5,3,1966,Good,No,189829.35
Suburban,4602,40858,4,3,1997,Excellent,No,369774.69
Coastal,2327,34760,5,1,1999,Good,No,384788.05
Suburban,2080,46718,2,1,1967,Good,Yes,746408.74
Coastal,1094,4604,2,3,1967,Good,No,195882.4
Suburban,3386,26604,5,2,1913,Excellent,No,314137.82
Downtown,4127,3577,6,3,1972,Poor,Yes,553459.67
Suburban,950,21622,6,3,1973,Excellent,Yes,658547.53
Urban,2301,33025,5,1,1963,Excellent,Yes,230540.59
Downtown,1795,27227,3,1,2007,Excellent,No,961222.16
Urban,1256,44424,6,3,1922,Excellent,Yes,664521.34
Coastal,4534,3403,4,3,1912,Excellent,No,671394.84
Urban,3853,36512,2,2,1969,Poor,No,533527.59
Downtown,2494,12784,5,4,1969,Good,Yes,244992.82
Suburban,1006,49117,4,1,2007,Good,Yes,273011.39
Suburban,3529,38322,5,2,1909,Poor,No,166812.63
Coastal,3770,31613,4,1,1979,Poor,Yes,702455.95
Coastal,2865,40792,2,4,1946,Good,Yes,778861.88
Suburban,4374,2039,2,2,1948,Good,No,328152.38
Downtown,3817,6315,1,3,1923,Good,No,870289.66
Suburban,2136,21629,1,2,1905,Good,No,248721.59
Suburban,2017,39809,4,1,1969,Good,No,167070.46
Coastal,4035,46996,2,1,1914,Good,No,418326.88
Suburban,3687,34150,4,2,1945,Good,Yes,631097.01
Suburban,2172,19844,1,2,1954,Good,Yes,620214.21
Suburban,1104,14633,6,2,1953,Good,Yes,324212.76
Coastal,4103,4700,3,3,1973,Poor,No,532101.39
Rural,2175,48085,6,1,1968,Excellent,No,836450.46
Urban,3419,47519,1,3,1935,Excellent,Yes,346190.91
Urban,4420,10906,1,3,1971,Excellent,Yes,116996.01
Downtown,2086,10427,2,2,1939,Good,No,492712.03
Coastal,4454,43290,1,3,1940,Poor,Yes,333520.11
Suburban,2399,47565,4,1,1943,Good,No,941611.48
Suburban,4832,42092,3,1,2018,Excellent,Yes,190224.0
Rural,4631,36894,6,2,1941,Excellent,No,826374.25
Coastal,3978,41698,3,2,1982,Good,No,731104.84
Urban,3504,21660,5,2,1943,Poor,Yes,363684.48
Coastal,851,30023,3,4,1940,Excellent,No,413641.25
Coastal,3611,36819,6,4,1991,Poor,No,975551.71
Suburban,2095,4640,1,2,1925,Poor,No,794009.06
Coastal,4712,24702,5,3,1936,Excellent,Yes,117815.65
Coastal,4309,43140,2,3,1930,Poor,Yes,486534.02
Urban,2732,47000,5,3,1969,Excellent,Yes,915531.97
Suburban,4420,46493,4,3,1983,Good,No,685972.76
Rural,3663,14617,5,4,1998,Poor,No,864165.09
Coastal,3650,29494,1,1,2001,Excellent,Yes,818836.98
Rural,4655,46828,5,4,2019,Poor,No,101511.74
Downtown,3146,12138,2,1,1958,Poor,Yes,834201.15
Coastal,3492,41625,5,4,1924,Poor,Yes,110559.94
Downtown,866,16642,1,4,1959,Good,Yes,496319.13
Suburban,1073,28109,3,3,1936,Good,Yes,878935.18
Coastal,4266,23608,6,1,1915,Good,Yes,352345.53
Rural,1648,3594,1,1,1956,Excellent,Yes,257508.96
Downtown,2582,39105,2,4,1947,Poor,No,651564.61
Coastal,1794,44046,2,3,1977,Good,Yes,120695.91
Rural,2835,16900,3,4,1984,Good,No,785391.42
Suburban,3069,4250,5,3,1960,Good,No,932755.81
Urban,2269,41047,2,4,1965,Poor,No,205301.78
Downtown,1419,10597,1,3,1932,Poor,No,271967.16
Urban,1353,12196,1,4,1994,Excellent,Yes,633352.11
Rural,940,24943,1,1,1928,Poor,No,360988.83
Urban,4644,47136,2,1,1981,Poor,Yes,364304.5
Suburban,833,24572,3,4,1965,Excellent,No,635046.46
Urban,4856,38314,2,4,1964,Excellent,No,388539.83
Coastal,3000,34913,3,3,1913,Excellent,No,294564.73
Downtown,2589,25080,3,1,2013,Poor,No,679104.18
Downtown,3992,25585,6,3,1956,Poor,No,863127.93
Suburban,1385,15126,2,4,1912,Excellent,No,743348.13
Coastal,3358,20331,6,1,1983,Good,Yes,641666.52
Downtown,1474,29203,4,1,1927,Poor,Yes,171509.54
Urban,4393,13765,3,4,1963,Excellent,Yes,394952.51
Rural,4716,47175,4,2,2008,Good,No,542087.01
Downtown,1875,22735,4,2,1993,Poor,No,147641.34
Coastal,2601,14091,2,2,1993,Excellent,Yes,607257.98
Downtown,3933,46942,5,3,2014,Poor,Yes,946485.03
Rural,4875,8237,3,4,1983,Good,Yes,638405.6
Rural,2771,18239,6,2,1963,Poor,Yes,702481.07
Coastal,1233,3563,6,3,2001,Excellent,Yes,206515.41
Coastal,4444,15787,3,2,1945,Good,No,638783.41
Urban,1240,38410,5,1,1907,Excellent,Yes,651915.95
Downtown,1126,20429,5,4,2009,Excellent,No,599113.96
Coastal,1396,27318,3,3,1957,Good,Yes,969417.49
Suburban,3228,9217,2,2,1936,Excellent,Yes,306520.81
Downtown,4487,7828,4,2,1918,Excellent,No,754285.32
Rural,3645,38678,6,4,2014,Poor,No,439792.18
Urban,2084,5191,5,4,1940,Poor,No,520460.76
Urban,1229,3895,6,2,1994,Poor,Yes,972088.66
Suburban,874,39479,5,4,2017,Poor,No,355861.97
Urban,3253,46444,3,3,2013,Excellent,Yes,258194.51
Rural,1710,12855,1,4,2017,Good,Yes,834280.69
Urban,1320,14983,3,1,1985,Good,No,820064.82
Rural,2542,39731,3,3,1965,Poor,Yes,118393.44
Suburban,1330,36052,4,1,1998,Poor,Yes,327871.37
Coastal,3251,26363,2,4,2012,Poor,Yes,529091.9
Suburban,4068,23888,6,3,2021,Excellent,No,471550.17
Downtown,1020,17240,5,3,1927,Poor,Yes,748254.69
Coastal,4355,25304,3,1,1918,Good,No,567088.34
Coastal,1826,16338,3,4,1902,Excellent,No,644581.93
Suburban,2633,2251,6,2,1981,Excellent,Yes,581285.41
Downtown,3344,45298,5,1,1945,Excellent,No,659055.37
Downtown,2026,44213,6,2,1961,Good,Yes,286202.76
Rural,4927,30349,2,4,1903,Poor,Yes,638611.06
Coastal,3985,21795,1,3,1980,Excellent,Yes,297702.77
Suburban,1685,19565,5,2,1998,Good,No,844884.75
Urban,1089,17366,1,4,1993,Poor,No,835788.43
Suburban,4833,27616,2,1,1945,Poor,No,407673.12
Urban,1723,42841,5,1,1960,Excellent,No,191491.09
Downtown,4552,49846,2,1,1927,Excellent,Yes,606086.73
Urban,4145,44370,3,1,1907,Excellent,No,342162.58
Coastal,1128,23391,3,2,1976,Poor,Yes,357334.08
Urban,4762,45981,3,3,1911,Good,No,585017.64
Suburban,2131,20656,5,3,1993,Good,No,346824.67
Rural,1463,24600,6,3,1976,Poor,No,575388.45
Rural,907,3453,1,3,1977,Good,Yes,249749.05
Suburban,3937,19863,2,2,1968,Good,No,931799.92
Urban,4166,48172,1,1,1946,Poor,No,970928.84
Downtown,1860,30128,2,2,1935,Good,Yes,920805.84
Coastal,4720,13430,1,3,1986,Poor,No,661899.9
Coastal,4023,19670,2,1,1977,Excellent,No,458208.14
Urban,826,8882,1,4,1915,Excellent,Yes,219581.14
Downtown,3133,4320,3,2,2006,Poor,Yes,466002.64
Urban,1754,37783,4,3,2000,Poor,No,234517.63
Downtown,4187,27043,2,1,2002,Excellent,Yes,879636.06
Suburban,4883,47352,6,4,2019,Excellent,No,432864.73
Downtown,3129,8884,5,3,1917,Poor,No,415016.75
Urban,1397,44280,3,3,1930,Excellent,No,947500.16
Rural,4838,27279,6,2,1986,Poor,No,996150.85
Suburban,3753,11767,3,4,1900,Poor,No,130803.79
Downtown,2695,22063,3,1,2012,Poor,Yes,349401.71
Downtown,3640,46808,2,1,1926,Poor,No,618671.71
Urban,1683,42878,2,3,1911,Poor,No,909323.24
Downtown,1397,36176,6,4,1944,Good,No,864667.78
Suburban,3493,29278,2,3,2008,Excellent,No,994592.87
Coastal,2207,15947,5,4,1912,Excellent,Yes,662675.14
Urban,985,9235,4,2,1998,Good,Yes,863725.69
Urban,2213,2550,5,2,1964,Excellent,Yes,553974.08
Downtown,1767,37848,2,2,2021,Good,Yes,754187.99
Urban,3831,20489,6,1,1934,Good,No,930782.95
Downtown,4098,13660,2,3,1952,Poor,No,589978.33
Downtown,1378,5428,3,1,2021,Excellent,Yes,807264.01
Rural,1495,33563,2,1,1906,Poor,Yes,385208.18
Urban,865,49504,3,3,1991,Excellent,No,539287.86
Suburban,2174,36266,5,2,1940,Good,Yes,165888.22
Urban,2652,23983,4,3,1933,Poor,Yes,312990.82
Suburban,3447,32334,6,1,1943,Excellent,Yes,872838.86
Rural,963,46047,5,4,2009,Excellent,No,892750.18
Urban,1888,47424,6,1,1997,Excellent,Yes,489494.86
Rural,2940,49630,1,3,1973,Good,Yes,931513.27
Suburban,2502,18572,3,4,1995,Good,No,547004.79
Rural,3191,29545,5,3,1997,Excellent,Yes,554084.22
Downtown,4929,22616,4,4,1915,Poor,No,790786.63
Urban,2943,30516,6,4,2001,Excellent,Yes,940914.35
Urban,2027,33397,4,3,1915,Good,No,103859.77
Urban,1342,22635,3,3,1946,Excellent,Yes,424285.38
Suburban,3824,47553,1,4,1966,Poor,Yes,527655.25
Urban,2755,8987,2,4,1940,Excellent,No,706745.2
Urban,3488,42937,6,4,1925,Poor,No,939691.23
Suburban,4730,18448,4,2,1960,Good,Yes,263561.09
Coastal,4366,17965,2,2,1955,Poor,Yes,186721.44
Rural,4025,23329,1,1,1938,Poor,No,740767.46
Coastal,4869,16951,3,3,1942,Poor,Yes,591841.08
Suburban,3874,23904,4,3,1990,Good,No,648504.7
Coastal,4791,6715,1,4,1991,Excellent,No,108927.39
Rural,4343,18861,6,1,2005,Poor,No,705636.13
Suburban,1840,37484,3,1,1999,Excellent,Yes,357986.66
Urban,3041,24069,6,2,1909,Excellent,Yes,513508.28
Suburban,3568,18389,3,3,1992,Good,Yes,996725.24
Urban,4349,49961,4,3,1986,Good,No,662248.94
Downtown,3934,45971,3,1,1957,Excellent,No,255289.2
Rural,4138,11241,5,2,1952,Poor,Yes,605266.42
Downtown,4313,10944,3,1,1919,Poor,Yes,348470.38
Downtown,2577,40608,4,1,2014,Poor,No,951205.32
Rural,2497,44032,3,3,1925,Excellent,Yes,661484.96
